LevelOfTrust;ScanTimeInSeconds;TotalBasketValue;ScannedProducts;CountOfVoidedScans;ActivateWithoutScan;ModifiedQuantities
2;202;76.39;16;10;0;5
3;165;3.55;9;3;8;3
3;1601;57.11;6;1;6;4
3;571;22.73;14;4;7;4
6;288;53.36;3;5;1;3
3;932;46.11;24;1;6;2
2;757;29.15;21;1;6;5
2;98;60.08;4;3;8;5
2;1451;53.14;15;6;0;0
5;1737;95.78;24;11;2;2
1;1315;0.02;4;2;5;2
3;134;16.07;2;4;4;4
3;1187;45.94;12;0;9;5
4;1479;35.69;30;10;4;3
5;1545;95.5;12;6;9;0
6;623;36.48;18;4;6;2
4;1626;67.72;14;3;8;0
5;245;79.63;29;7;7;0
5;636;17.71;13;3;0;1
2;429;7.94;7;6;7;5
3;645;82.06;20;9;7;1
1;1429;31.99;30;5;0;5
5;1687;95.62;23;5;6;3
2;1878;43.42;10;4;10;2
4;825;41.28;13;2;1;2
3;925;50.57;11;0;8;1
1;1389;26.76;11;3;0;1
2;868;98.89;1;0;0;0
6;961;30.25;25;8;3;1
2;346;91.02;19;11;8;0
4;1141;25.73;13;9;8;4
4;987;39.19;14;4;1;0
1;1636;35.58;29;0;5;1
4;552;15.12;2;5;2;0
4;829;24.9;4;0;0;5
1;1603;74.21;8;1;1;2
5;1033;92.5;10;9;1;1
6;598;64.97;15;2;4;5
6;1131;67.45;13;10;4;5
1;1783;9.59;21;7;10;0
5;5;74.97;15;3;2;0
5;143;54.75;6;10;6;1
3;1368;2.3;6;11;1;2
4;191;64.1;27;11;0;2
1;1149;52.21;29;4;8;3
2;1152;79.33;14;6;5;2
4;798;32.89;25;2;6;5
3;808;39.62;12;8;7;4
4;617;42.6;17;7;9;5
5;700;46.43;12;11;3;4
2;571;25.24;23;0;10;3
6;668;20.42;19;11;0;1
5;1180;92.35;15;0;1;1
3;900;11.48;7;0;6;4
2;174;45.17;24;8;1;1
3;279;86.52;25;9;4;5
3;1745;25.94;14;5;10;5
3;1174;36.38;23;8;3;0
1;1190;65.09;5;10;4;4
4;1192;31.93;8;10;10;0
2;28;27.43;9;6;7;2
3;1394;43.78;14;7;2;5
5;207;70.59;25;9;7;4
5;112;101.24;14;10;4;4
5;1210;54.73;1;6;7;2
5;537;20.02;1;6;3;1
1;589;41.34;17;9;5;1
2;945;73.98;16;2;4;1
6;536;14.54;8;0;9;4
5;582;56.07;3;4;9;3
6;86;29.02;2;6;3;0
6;231;42.98;25;3;7;3
3;1455;12.21;16;6;9;2
4;1784;0.41;13;0;5;3
3;356;93.1;10;1;1;3
1;686;20.33;11;0;6;4
3;267;31.18;3;1;9;2
5;151;76.94;3;2;8;4
3;571;7.06;7;4;9;2
3;624;49.03;20;8;1;5
1;1440;19.26;16;4;3;2
6;178;72.79;21;3;0;3
4;878;24.14;16;3;7;2
5;534;45.58;12;2;0;1
1;497;18.89;23;1;9;1
4;512;81.53;29;6;3;0
5;507;88.92;27;4;3;4
2;1482;79.83;25;6;0;1
5;1727;58.17;20;10;10;2
2;502;68.06;12;11;7;3
4;1882;68.34;16;3;8;5
1;21;96;13;4;1;2
6;642;58.35;7;11;0;5
4;573;66.52;12;9;1;4
4;1256;21.88;29;6;7;3
2;1898;25.27;11;9;3;4
4;1397;7.21;12;2;9;1
1;1068;6.45;10;3;4;5
5;1251;58.21;26;8;9;4
5;708;38.03;15;7;4;5
5;1316;27.8;16;4;6;3
